parcl_property_id,event_type,event_name,event_date,price,address,city,county_name,BG_ID,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,price_sf
197670724,SALE,SOLD,2023-02-17,287000.0,299 EDEN WOODS,,Habersham,131370003003,34.593107,-83.531813,Single family,3.0,2.0,1736.0,2022.0,165.32258064516128
197134690,SALE,SOLD,2023-03-10,259750.0,568 CYPRESS DR,Mount Airy Town,Habersham,131370004003,34.527832,-83.475821,Single family,3.0,2.0,1495.0,2022.0,173.7458193979933
172595860,SALE,SOLD,2024-10-17,325000.0,532 ELROD ST,Cornelia City,Habersham,131370005012,34.520149,-83.521188,Single family,3.0,3.5,1816.0,2021.0,178.9647577092511
169298768,SALE,SOLD,2023-05-02,375000.0,395 WHEELER RD,,Habersham,131370002011,34.591887,-83.598488,Single family,4.0,3.0,2068.0,2022.0,181.33462282398452
169298768,SALE,SOLD,2023-02-23,346975.0,395 WHEELER RD,,Habersham,131370002011,34.591887,-83.598488,Single family,4.0,3.0,2068.0,2022.0,167.7828820116054
169298768,SALE,SOLD,2023-02-10,353200.0,395 WHEELER RD,,Habersham,131370002011,34.591887,-83.598488,Single family,4.0,3.0,2068.0,2022.0,170.79303675048357
169298768,SALE,SOLD,2023-02-09,385300.0,395 WHEELER RD,,Habersham,131370002011,34.591887,-83.598488,Single family,4.0,3.0,2068.0,2022.0,186.31528046421664
169298768,SALE,SOLD,2023-01-19,391420.0,395 WHEELER RD,,Habersham,131370002011,34.591887,-83.598488,Single family,4.0,3.0,2068.0,2022.0,189.27466150870407
169298768,SALE,SOLD,2022-11-30,389800.0,395 WHEELER RD,,Habersham,131370002011,34.591887,-83.598488,Single family,4.0,3.0,2068.0,2022.0,188.49129593810446
169298768,SALE,SOLD,2022-11-17,368300.0,395 WHEELER RD,,Habersham,131370002011,34.591887,-83.598488,Single family,4.0,3.0,2068.0,2022.0,178.09477756286267
169298768,SALE,SOLD,2022-11-04,395200.0,395 WHEELER RD,,Habersham,131370002011,34.591887,-83.598488,Single family,4.0,3.0,2068.0,2022.0,191.10251450676984
165043160,SALE,SOLD,2024-10-07,169000.0,257 LACOUNT LN,Clarkesville City,Habersham,131370002041,34.622903,-83.553405,Single family,4.0,3.0,2702.0,2021.0,62.546262028127316
165043160,SALE,SOLD,2023-06-16,405000.0,257 LACOUNT LN,Clarkesville City,Habersham,131370002041,34.622903,-83.553405,Single family,4.0,3.0,2702.0,2021.0,149.88897113249445
96075207,SALE,SOLD,2023-02-13,295900.0,480 HIGHLAND POINTE DR,Baldwin City,Habersham,131370006012,34.488882,-83.588406,Single family,3.0,2.5,1921.0,2022.0,154.03435710567413
66896622,SALE,SOLD,2023-03-23,299000.0,255 ARBOR GATES DR,Cornelia City,Habersham,131370005012,34.517142,-83.516514,Single family,3.0,2.0,1715.0,2022.0,174.34402332361515
469283018,SALE,SOLD,2023-01-20,215000.0,301 ARIZONA ST,Demorest City,Habersham,131370005023,34.564149,-83.536391,Single family,3.0,2.0,1248.0,2022.0,172.27564102564102
469281493,SALE,SOLD,2023-04-06,158800.0,208 SELDOM REST LN,,Habersham,131370006031,34.502854,-83.608602,Single family,1.0,1.0,2000.0,2023.0,79.4
469279886,SALE,SOLD,2023-08-21,141000.0,526 CARL LOUDERMILK RD,,Habersham,131370004004,34.555856,-83.467212,Single family,3.0,3.0,1800.0,2023.0,78.33333333333333
469278078,SALE,SOLD,2023-04-10,215000.0,296 IRVIN LAKE RD,,Habersham,131370001001,34.580969,-83.419848,Single family,1.0,1.0,800.0,2023.0,268.75
459143418,SALE,SOLD,2024-09-05,395000.0,109 PHILLIPS ST,,Habersham,131370002034,34.6382905,-83.5128455,Single family,3.0,2.0,1930.0,2022.0,204.66321243523316
458589287,SALE,SOLD,2024-09-30,315900.0,544 HARVEST CHURCH RD,,Habersham,131370002041,34.6312802,-83.6048908,Single family,3.0,2.0,1503.0,2024.0,210.17964071856287
453759504,SALE,SOLD,2024-04-18,825000.0,435 SHOALS RDG,Clarkesville City,Habersham,131370002011,34.606056,-83.544464,Single family,4.0,4.5,3650.0,2023.0,226.02739726027397
452810046,SALE,SOLD,2023-05-19,389900.0,328 SWAIN ST,Clarkesville City,Habersham,131370003003,34.607094,-83.52579,Single family,2.0,2.0,1182.0,2022.0,329.86463620981385
198695372,SALE,SOLD,2024-04-24,425000.0,814 WILBANKS RD,,Habersham,131370006012,34.484136,-83.591904,Single family,4.0,2.0,3204.0,2021.0,132.64669163545568
197985910,SALE,SOLD,2022-12-19,290950.0,165 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.504326,-83.55737,Single family,3.0,2.0,1634.0,2022.0,178.05997552019585
197984137,SALE,SOLD,2023-01-04,300000.0,210 SLAYTON ST,Cornelia City,Habersham,131370006044,34.510494,-83.53618,Single family,3.0,2.0,1600.0,2022.0,187.5
197503846,SALE,SOLD,2022-11-04,395200.0,697 WHEELER RD,,Habersham,131370002011,34.589912,-83.5995,Single family,4.0,2.5,2209.0,2022.0,178.9044816659122
197133032,SALE,SOLD,2023-02-17,367900.0,455 STONINGTON DR,,Habersham,131370001001,34.611631,-83.433241,Single family,3.0,2.0,1667.0,2022.0,220.69586082783442
137643190,SALE,SOLD,2023-12-20,629900.0,263 SWEETGRASS DR,,Habersham,131370005021,34.571386,-83.516133,Single family,4.0,4.5,2963.0,2023.0,212.58859264259198
